Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Year,Term
MATH-040x,Basic Mathematical Skills,,4.0 units,Lecture,39400D,1.0,8:00-8:50am,MWF,30.0,2.0,0.0,Yong Han,KAP148,2007,Spring
,,,,Discussion,39401D,1.0,9:00-9:50am,"Tue, Thu",30.0,2.0,0.0,,VHE206,2007,Spring
MATH-100o,Off-Campus Studies,,"1.5-12.0 units, max 12",,,,,,,,,,,2007,Spring
,Introduction to Statistics,,3.0,Lecture,05463R,93.0,TBA,TBA,50.0,1.0,0.0,,TBA,2007,Spring
MATH-108,Precalculus,P,4.0 units,Lecture,39404D,1.0,8:00-8:50am,MWF,50.0,26.0,0.0,John Novak,KAP146,2007,Spring
,,,,Discussion,39405D,1.0,8:00-8:50am,"Tue, Thu",20.0,6.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39406D,1.0,9:00-9:50am,"Tue, Thu",20.0,5.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39407D,1.0,10:00-10:50am,"Tue, Thu",20.0,15.0,0.0,,KAP141,2007,Spring
MATH-116,Mathematics for the Social Sciences,P,4.0 units,Lecture,39410D,1.0,9:00-9:50am,MWF,45.0,37.0,0.0,Attila Maroti,KAP146,2007,Spring
,,,,Discussion,39411D,1.0,8:00-8:50am,"Tue, Thu",15.0,10.0,0.0,,GFS112,2007,Spring
,,,,Discussion,39412D,1.0,9:00-9:50am,"Tue, Thu",15.0,13.0,0.0,,GFS112,2007,Spring
,,,,Discussion,39413D,1.0,10:00-10:50am,"Tue, Thu",15.0,14.0,0.0,,GFS112,2007,Spring
MATH-117,Introduction to Mathematics for Business and Economics,P,4.0 units,Lecture,39416D,1.0,12:00-12:50pm,MWF,75.0,47.0,0.0,Darren Semmen,THH208,2007,Spring
,,,,Discussion,39417D,1.0,11:00-11:50am,"Tue, Thu",25.0,23.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39418D,1.0,12:00-12:50pm,"Tue, Thu",25.0,6.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39419D,1.0,1:00-1:50pm,"Tue, Thu",25.0,18.0,0.0,,KAP134,2007,Spring
